Time [s],Velocidade[m/s],Temperatura Externa [°C],Altitude [m]
709.018,-0.025544038905535322,25.3,419.13
729.38,0.0044221698113195065,25.1,419.13
749.737,0.0044221698113195065,25.1,418.61
770.089,0.021127106569056545,25.1,418.7
790.442,-0.021125030704986805,25.1,419.13
810.797,0.10318396226415219,25.2,418.7
831.149,-0.048121777559539294,25.2,420.8
851.514,0.00884303610906444,25.2,419.82
871.869,-0.012775157232703971,25.2,420.0
892.221,-0.001621200311769234,25.3,419.74
1052.596,0.012772019452767661,25.3,419.48
1072.953,0.02554780387147395,25.3,419.74
1093.307,-0.017196482091090492,25.2,420.26
1113.66,0.004419129922418494,25.2,419.91
1134.026,-0.025550314465408085,25.2,420.0
1154.378,0.04225421313811006,25.1,419.48
1174.731,0.06386637189879686,25.0,420.34
1195.086,0.008840864440078963,25.0,421.64
1215.446,0.008351756325227992,25.1,421.82
1235.801,0.017193103109493853,25.1,421.99
1256.158,-0.00442021511713445,25.1,422.34
1276.519,0.017197327044026198,25.2,422.25
1296.871,-0.0044219525377110274,25.1,422.6
1317.224,-0.01719394773039723,25.1,422.51
1337.58,0.008844339622639013,25.2,422.16
1357.932,0.0009746272050943955,25.2,422.34
1450.275,-0.013265857613127497,25.2,422.43
1470.628,0.00442173528544634,25.2,422.16
1490.982,0.027023043286002534,25.2,422.25
1511.335,0.02406561563773941,25.2,422.8
1531.696,0.021619496855345706,25.1,423.29
1552.048,-0.021618434628801468,26.3,423.73
1572.401,0.021602513747054155,27.3,423.29
1592.769,0.0,26.5,423.73
1613.123,-0.00884303610906444,26.8,423.73
1633.478,-0.008349295221257156,26.5,423.55
1653.839,0.07665094339622619,26.39,423.38
1674.191,-0.038316058358302985,25.89,424.94
1694.548,0.004421518054530824,25.89,424.16
1714.903,0.029479683584730545,26.0,424.25
1735.256,-0.02111984282907706,26.3,424.85
1755.616,0.0,26.3,424.42
1775.974,0.05109811821352922,26.2,424.42
1796.327,-0.00442130084495849,26.3,425.46
1816.683,-0.012773274379758814,26.3,425.37
1837.038,0.017191414116605297,26.3,425.11
1857.397,0.004421735285449133,26.39,425.46
1877.751,-0.017182974127351574,26.39,425.55
1898.12,0.07366663392594018,26.39,425.2
1918.482,-0.11202830188679062,26.5,426.7
1938.834,0.03831982313927645,26.5,424.42
1959.189,0.029968066814051245,26.5,425.2
1979.544,-0.05441965326906616,26.6,425.81
1992.407,0.008838693837466572,26.6,425.11
2012.772,-0.02997101164447559,26.39,425.29
2033.125,-0.004420649344271927,26.3,424.68
2053.484,0.017197327044026392,26.0,424.59
2073.836,0.042745541197857895,25.8,424.94
2094.189,-0.029968066814051245,25.7,425.81
2114.544,0.012772646885438596,25.6,425.2
2134.9,-0.012769510338391655,25.5,425.46
2155.261,-0.029956293277022972,25.39,425.2
2175.624,0.034870585924071745,25.3,424.59
2195.985,-0.009331565247286424,25.2,425.3
2216.346,0.04273294366128041,25.1,425.11
2236.705,0.0,25.1,425.98
2257.058,0.033903301886792574,25.39,425.98
2277.41,-0.012277169375828538,26.0,426.67
2297.773,0.06387264776691433,26.39,426.42
2318.126,-0.02161949685534874,27.2,427.72
2338.478,-0.008348065213119172,27.7,427.28
2358.842,-0.02997101164447559,27.8,427.11
2379.195,0.051100628930818966,28.1,426.5
2399.547,0.00883869383746667,28.2,427.54
2419.912,0.029473891044847805,28.3,427.72
2440.269,0.16211436431518841,28.2,428.32
2460.625,0.5245837221867502,28.8,431.62
2480.984,-0.08941731355016061,28.89,442.3
2501.338,1.5937331172339366,29.0,440.48
2521.699,5.995970911949728,28.0,472.93
2542.051,6.284689817771031,25.7,594.96
2562.41,5.42859949894386,24.3,722.91
2582.767,4.105738993710631,23.2,833.42
2603.119,4.391549987718001,22.0,916.98
2623.474,10.335412267347722,21.1,1006.37
2643.837,5.413227201257902,19.2,1216.83
2664.189,4.849214145383074,18.6,1327.0
2684.549,10.941413347738635,18.2,1425.73
2704.912,11.4360813599291,16.39,1648.53
2725.266,5.029234019554847,14.5,1881.3
2745.619,2.606550132573896,13.8,1983.66
2786.351,5.246843837500619,12.9,2089.83
2806.708,5.061140303491666,11.9,2196.64
2827.071,5.329926792119082,11.19,2299.7
2847.424,4.770092356062061,10.19,2408.18
2867.78,10.470154753131894,10.69,2505.28
2888.135,5.032673315973163,9.6,2718.4
2908.488,5.323839921433774,9.0,2820.83
2928.853,5.103895465933106,9.5,2929.25
2949.21,5.2881355932203284,9.5,3033.15
2969.565,11.23907278263427,9.69,3140.79
2989.927,5.558394339900739,10.6,3369.64
3010.28,5.032178825841304,10.1,3482.77
3030.635,5.380573561186527,9.69,3585.2
3050.999,5.288829944002316,9.19,3694.77
3071.357,5.416318711008494,8.8,3802.44
3091.714,5.056731666584835,8.0,3912.7
3112.073,11.669450722216608,7.59,4015.65
3132.427,5.271709783515892,6.0,4253.17
3152.798,5.780889216408698,5.2,4360.56
3173.153,5.223073899370997,4.3,4478.23
3193.505,5.226826394344087,3.7,4584.53
3213.873,16.816015720953065,2.7,4690.99
3234.228,5.533117138364846,-0.2,5033.28
3254.58,5.387636863553716,-0.9,5145.89
